iter	MAE	RMSE
0	12.86807111	15.53488647
5	11.25518317	13.642058
10	9.879839074	12.03860008
15	8.721290475	10.68958792
20	7.745564246	9.560098373
25	6.939601002	8.623803617
30	6.268409797	7.851994103
35	5.717486938	7.223609274
40	5.272446253	6.714881849
45	4.907279047	6.308160906
50	4.612460658	5.985795279
55	4.374810721	5.73282166
60	4.183951866	5.535435419
65	4.029961927	5.382294187
70	3.906780772	5.263415798
75	3.809750296	5.171747493
80	3.730851032	5.101408605
85	3.669132695	5.047440978
90	3.619011357	5.005699186
95	3.57947797	4.973770605
100	3.548121191	4.949201922
105	3.523228696	4.930247635
110	3.502649447	4.915762742
115	3.485430765	4.903587811
120	3.471742552	4.893569042
125	3.460794587	4.885883179
130	3.451646422	4.879717883
135	3.443940704	4.874354135
140	3.436870725	4.868599583
145	3.430942737	4.864158397
150	3.426109414	4.860942504
155	3.420887627	4.85600571
160	3.416572254	4.852202281
165	3.412971058	4.847865201
170	3.408973688	4.843864579
175	3.406156067	4.840885012
180	3.402807199	4.83656791
185	3.399383883	4.832204693
190	3.396241611	4.828691766
195	3.394407511	4.826596885
200	3.391846472	4.822794079
205	3.389569933	4.819644371
210	3.387294192	4.816852519
215	3.385363575	4.814218333
220	3.383770902	4.811908508
225	3.381624383	4.808339611
230	3.3800692	4.805949506
235	3.378466955	4.804280175
240	3.377018394	4.802190369
245	3.375478101	4.80026472
250	3.374067296	4.797938867
255	3.372352314	4.795231303
260	3.370507047	4.792734137
265	3.368744737	4.790465238
270	3.367332868	4.788730988
275	3.365707757	4.786529073
280	3.364075467	4.784145412
285	3.362823929	4.782531627
290	3.361170899	4.780261223
295	3.360129945	4.778600946
300	3.358061863	4.775351043
305	3.35651838	4.773085914
310	3.3548369	4.771022347
315	3.353822535	4.769594779
320	3.352732125	4.768476595
325	3.351256709	4.766711363
330	3.349791131	4.764680304
335	3.348145546	4.762149921
340	3.34667598	4.760140152
345	3.345195778	4.758025819
350	3.343798799	4.755939393
355	3.342474408	4.753788066
360	3.341569057	4.752816316
365	3.340075028	4.750640068
370	3.339086189	4.749214659
375	3.337388756	4.746507758
380	3.336036712	4.744815272
385	3.335307911	4.743759628
390	3.33401064	4.742204541
395	3.33306647	4.740842327
400	3.331969945	4.739069944
405	3.330716812	4.737250201
410	3.329946267	4.73599503
415	3.328240857	4.733033844
420	3.327041433	4.731168618
425	3.325826322	4.729296809
430	3.324388928	4.726901612
435	3.323291074	4.72532027
440	3.322514147	4.724087145
445	3.321235755	4.722187529
450	3.320156513	4.720658004
455	3.318804469	4.718921538
460	3.317941926	4.717754372
465	3.317106238	4.716531445
470	3.316264435	4.715114672
475	3.315436723	4.714006803
480	3.314635867	4.712823525
485	3.313951469	4.711698414
490	3.312432448	4.709673665
495	3.311321299	4.708192708
500	3.309964735	4.706477179
505	3.309064702	4.705192099
510	3.308157756	4.703994169
515	3.306958332	4.702388613
520	3.306494888	4.70181455
525	3.305489298	4.700461221
530	3.304545127	4.699303728
535	3.303876949	4.698451323
540	3.303027701	4.697391373
545	3.302307674	4.696274341
550	3.301619023	4.695202573
555	3.300914684	4.694196493
560	3.30010266	4.693031109
565	3.299468249	4.692142885
570	3.298466115	4.690691991
575	3.29774662	4.689726671
580	3.297101575	4.688953047
585	3.296473014	4.688050211
590	3.295429933	4.686351819
595	3.294663376	4.685201963
600	3.294146222	4.684527035
605	3.293463686	4.683591101
610	3.292679315	4.6822584
615	3.292235015	4.681616896
620	3.29122384	4.680026162
625	3.290444786	4.679071598
630	3.289441323	4.6776071
635	3.288573196	4.676423481
640	3.287510705	4.674714039
645	3.286786691	4.673545163
650	3.28597573	4.672435859
655	3.285215289	4.671444228
660	3.284493135	4.670521384
665	3.284007888	4.669705633
670	3.283235216	4.668531174
675	3.282813251	4.667858164
680	3.281877057	4.66667458
685	3.281468652	4.666090653
690	3.280921985	4.665390619
695	3.27982998	4.663792526
700	3.279101977	4.662625701
705	3.278249272	4.661464517
710	3.277689577	4.660577808
715	3.277319194	4.659954089
720	3.276927806	4.659392831
725	3.276319187	4.658481755
730	3.275475522	4.65719348
735	3.274708433	4.656288826
740	3.274086254	4.655519012
745	3.273320494	4.654257796
750	3.272681032	4.653411767
755	3.271948509	4.652357557
760	3.271458476	4.651695697
765	3.270670914	4.650621889
770	3.270087554	4.649672726
775	3.269672236	4.649135161
780	3.268993423	4.648029642
785	3.268203733	4.647105353
790	3.267276048	4.645753944
795	3.266659186	4.644811571
800	3.26612023	4.643972524
805	3.265774309	4.643477818
810	3.265059334	4.642512303
815	3.263944729	4.64113137
820	3.263329463	4.640333142
825	3.262737329	4.639540279
830	3.262294624	4.638999477
835	3.261554922	4.637822288
840	3.260486582	4.636323197
845	3.260006387	4.635467241
850	3.259548261	4.634877317
855	3.258259232	4.633183077
860	3.257810678	4.632636483
865	3.25726667	4.631951828
870	3.256864646	4.631490973
875	3.256344037	4.630676844
880	3.255775035	4.629979266
885	3.255314516	4.629375318
890	3.254684094	4.628543353
895	3.254299087	4.628053432
900	3.25385718	4.627417056
905	3.253405967	4.626743582
910	3.252626382	4.625631332
915	3.252017762	4.62475546
920	3.25159367	4.624178429
925	3.251165323	4.62362755
930	3.250794409	4.623095009
935	3.250532243	4.622707585
940	3.249901289	4.621779382
945	3.249203597	4.620784935
950	3.248498194	4.619857037
955	3.247476384	4.618307438
960	3.246777363	4.617505495
965	3.246271909	4.616901989
970	3.245245845	4.615547497
975	3.244427439	4.614472422
980	3.244023555	4.613946892
985	3.243607705	4.613390642
990	3.242932879	4.612472093
995	3.241957334	4.611122528
1000	3.241366795	4.61036432
1005	3.240943235	4.609784103
1010	3.240013954	4.608480138
1015	3.239448409	4.607664944
1020	3.238719076	4.606690999
1025	3.238018991	4.605788203
1030	3.237716942	4.605353596
1035	3.23711949	4.604600443
1040	3.23670045	4.604003792
1045	3.236034133	4.603051023
1050	3.235627589	4.602439613
1055	3.235274223	4.601966558
1060	3.234338561	4.600795843
1065	3.233857834	4.600073619
1070	3.233375246	4.599400536
1075	3.232660006	4.598573556
1080	3.232392256	4.598180364
1085	3.231676484	4.597130609
1090	3.230967359	4.596305072
1095	3.230145231	4.595270627
1100	3.229602552	4.594579248
1105	3.229202124	4.594059313
1110	3.228757824	4.593470786
1115	3.228480768	4.593097766
1120	3.228203712	4.592692064
1125	3.227684963	4.591855537
1130	3.227152123	4.591123336
1135	3.226632576	4.590358581
1140	3.226371208	4.590025394
1145	3.225852459	4.589402747
1150	3.225215656	4.588491681
1155	3.225010921	4.588232999
1160	3.22450919	4.587555164
1165	3.223935136	4.586785408
1170	3.223536303	4.586278041
1175	3.223082165	4.585730494
1180	3.222716037	4.585257571
1185	3.22232199	4.584739363
1190	3.221956924	4.584235249
1195	3.221199408	4.583252845
1200	3.220917034	4.582829794
1205	3.220117773	4.581649082
1210	3.219828752	4.581269064
1215	3.219398012	4.580580911
1220	3.218829276	4.579878257
1225	3.218525366	4.579457217
1230	3.217720255	4.578350902
1235	3.217224638	4.577769416
1240	3.216836175	4.577281032
1245	3.216543698	4.576896933
1250	3.215863554	4.576017078
1255	3.215674242	4.575753507
1260	3.215304125	4.575255377
1265	3.215029462	4.574814848
1270	3.214667853	4.574304292
1275	3.21430199	4.573808562
1280	3.213941711	4.573252313
1285	3.213487042	4.572702741
1290	3.21290315	4.571964215
1295	3.212128883	4.571041298
1300	3.211655867	4.570413505
1305	3.210950198	4.569621311
1310	3.210609063	4.569127633
1315	3.209988213	4.568331258
1320	3.209735619	4.567983427
1325	3.20917353	4.56714121
1330	3.208635372	4.566460012
1335	3.207956824	4.565620309
1340	3.207501888	4.565055607
1345	3.207249294	4.564749465
1350	3.207014249	4.56448967
1355	3.206679495	4.564041111
1360	3.206207277	4.563347797
1365	3.205908152	4.562983968
1370	3.205564624	4.562482113
1375	3.205062892	4.561815373
1380	3.204655551	4.561258594
1385	3.204013961	4.560416535
1390	3.203570459	4.559807105
1395	3.203166308	4.559222088
1400	3.202770932	4.558610165
1405	3.202415173	4.558187627
1410	3.20217348	4.557863989
1415	3.201904933	4.557459584
1420	3.201224524	4.556603052
1425	3.200847228	4.556100727
1430	3.20060261	4.555752662
1435	3.199867162	4.554871758
1440	3.199518316	4.554373445
1445	3.199315177	4.554109322
1450	3.199008608	4.553724203
1455	3.198743783	4.55336965
1460	3.198513257	4.553091219
1465	3.19780945	4.552163541
1470	3.197366745	4.551613993
1475	3.197052465	4.551263248
1480	3.196489845	4.55042191
1485	3.196161738	4.549963549
1490	3.195943709	4.549657092
1495	3.195410337	4.548890743
1500	3.194928281	4.548226688
1505	3.194568533	4.547729752
1510	3.194186983	4.547197444
1515	3.193654408	4.54654858
1520	3.193178733	4.545914831
1525	3.192512416	4.545053081
1530	3.192130334	4.544610795
1535	3.191773512	4.54413289
1540	3.190980632	4.543148368
1545	3.190649335	4.542713623
1550	3.190364834	4.542348142
1555	3.189738134	4.541435364
1560	3.189392213	4.541091327
1565	3.188996837	4.540521701
1570	3.188618743	4.540026733
1575	3.188221771	4.539447132
1580	3.187830117	4.538942908
1585	3.187477017	4.538503542
1590	3.186973956	4.537844529
1595	3.186757257	4.537546629
1600	3.186315882	4.536869661
1605	3.185925823	4.536355538
1610	3.185450414	4.535773593
1615	3.18490162	4.535023425
1620	3.184555433	4.534599861
1625	3.184209778	4.534190567
1630	3.184022592	4.533961627
1635	3.183881139	4.533773494
1640	3.183729051	4.533550868
1645	3.18336824	4.533031207
1650	3.183044388	4.532606519
1655	3.182650607	4.532078771
1660	3.182267461	4.531504022
1665	3.181882188	4.531029663
1670	3.181368226	4.530321202
1675	3.180946526	4.529678139
1680	3.180510735	4.529099093
1685	3.180312382	4.528883047
1690	3.180073614	4.528553557
1695	3.179678503	4.528080534
