iter	Passed	Remaining
0	136	1361713
1	270	1354682
2	400	1335519
3	533	1333630
4	662	1324735
5	797	1327794
6	925	1321749
7	1055	1318076
8	1188	1319049
9	1321	1320354
10	1452	1319030
11	1584	1318930
12	1716	1318908
13	1845	1316629
14	1978	1317061
15	2112	1318419
16	2241	1316442
17	2370	1314693
18	2502	1314843
19	2635	1315040
20	2769	1315867
21	2901	1316054
22	3030	1314741
23	3163	1314879
24	3295	1314843
25	3425	1313965
26	3557	1314007
27	3689	1314005
28	3817	1312581
29	3946	1311409
30	4079	1311955
31	4211	1311945
32	4339	1310720
33	4471	1310784
34	4600	1309778
35	4729	1309119
36	4859	1308510
37	4988	1307656
38	5120	1307756
39	5248	1306953
40	5378	1306429
41	5509	1306355
42	5641	1306369
43	5769	1305496
44	5901	1305447
45	6030	1305050
46	6159	1304283
47	6290	1304264
48	6419	1303584
49	6546	1302803
50	6676	1302397
51	6807	1302372
52	6936	1301765
53	7068	1301822
54	7195	1301151
55	7324	1300698
56	7453	1300131
57	7581	1299596
58	7713	1299632
59	7844	1299574
60	7978	1299940
61	8108	1299762
62	8237	1299268
63	8366	1298832
64	8497	1298794
65	8631	1299128
66	8759	1298630
67	8887	1298052
68	9015	1297537
69	9146	1297531
70	9278	1297581
71	9406	1296993
72	9536	1296767
73	9665	1296489
74	9793	1295973
75	9923	1295789
76	10053	1295607
77	10181	1295105
78	10308	1294601
79	10440	1294598
80	10569	1294273
81	10695	1293579
82	10825	1293442
83	10956	1293414
84	11083	1292847
85	11215	1292908
86	11345	1292770
87	11474	1292493
88	11608	1292670
89	11738	1292501
90	11873	1292864
91	12003	1292724
92	12137	1292941
93	12266	1292661
94	12394	1292330
95	12523	1292018
96	12652	1291685
97	12778	1291130
98	12906	1290774
99	13035	1290502
100	13164	1290246
101	13295	1290144
102	13421	1289672
103	13554	1289738
104	13684	1289598
105	13813	1289369
106	13945	1289415
107	14078	1289459
108	14205	1289069
109	14331	1288568
110	14465	1288698
111	14591	1288206
112	14719	1287863
113	14849	1287700
114	14981	1287722
115	15114	1287869
116	15244	1287724
117	15374	1287569
118	15506	1287598
119	15638	1287587
120	15769	1287456
121	15902	1287552
122	16028	1287116
123	16160	1287072
124	16296	1287429
125	16425	1287161
126	16560	1287439
127	16697	1287782
128	16825	1287465
129	16952	1287122
130	17090	1287555
131	17221	1287452
132	17356	1287609
133	17485	1287397
134	17610	1286853
135	17739	1286640
136	17868	1286408
137	18000	1286367
138	18132	1286399
139	18260	1286091
140	18396	1286299
141	18527	1286199
142	18661	1286347
143	18802	1286895
144	18933	1286804
145	19067	1286929
146	19199	1286904
147	19334	1287067
148	19470	1287256
149	19599	1287034
150	19730	1286896
151	19862	1286866
152	19991	1286670
153	20128	1286936
154	20254	1286473
155	20399	1287254
156	20527	1286984
157	20661	1287052
158	20799	1287365
159	20938	1287724
160	21071	1287701
161	21203	1287670
162	21333	1287454
163	21466	1287455
164	21599	1287483
165	21735	1287620
166	21866	1287517
167	22004	1287783
168	22136	1287741
169	22274	1288009
170	22404	1287818
171	22536	1287704
172	22665	1287452
173	22794	1287254
174	22924	1287049
175	23059	1287127
176	23198	1287458
177	23327	1287227
178	23457	1287034
179	23591	1287025
180	23738	1287773
181	23871	1287733
182	24012	1288127
183	24143	1287983
184	24279	1288120
185	24406	1287785
186	24538	1287655
187	24676	1287917
188	24806	1287682
189	24952	1288330
190	25094	1288729
191	25221	1288423
192	25353	1288296
193	25479	1287905
194	25604	1287440
195	25747	1287899
196	25876	1287632
197	26001	1287181
198	26134	1287167
199	26274	1287468
200	26402	1287147
201	26530	1286875
202	26659	1286610
203	26785	1286238
204	26911	1285824
205	27039	1285577
206	27165	1285180
207	27293	1284906
208	27430	1285012
209	27558	1284763
210	27696	1284923
211	27818	1284397
212	27953	1284414
213	28089	1284518
214	28211	1283967
215	28344	1283914
216	28475	1283759
217	28608	1283719
218	28735	1283393
219	28862	1283077
220	28995	1283010
221	29127	1282900
222	29262	1282963
223	29389	1282635
224	29520	1282503
225	29657	1282621
226	29791	1282590
227	29930	1282819
228	30064	1282786
229	30205	1283086
230	30332	1282771
231	30462	1282580
232	30589	1282269
233	30716	1281945
234	30840	1281507
235	30979	1281708
236	31104	1281311
237	31247	1281673
238	31381	1281658
239	31506	1281249
240	31633	1280967
241	31764	1280829
242	31893	1280600
243	32028	1280624
244	32161	1280538
245	32296	1280575
246	32419	1280096
247	32559	1280340
248	32684	1279933
249	32811	1279663
250	32938	1279354
251	33068	1279192
252	33200	1279054
253	33322	1278576
254	33450	1278343
255	33591	1278559
256	33722	1278443
257	33854	1278339
258	33996	1278596
259	34132	1278670
260	34265	1278592
261	34395	1278411
262	34533	1278540
263	34659	1278215
264	34788	1277977
265	34928	1278187
266	35056	1277924
267	35194	1278038
268	35328	1277993
269	35456	1277752
270	35579	1277306
271	35704	1276972
272	35835	1276833
273	35964	1276593
274	36088	1276223
275	36222	1276174
276	36379	1276959
277	36513	1276934
278	36637	1276549
279	36778	1276751
280	36918	1276906
281	37047	1276702
282	37174	1276405
283	37307	1276328
284	37437	1276145
285	37576	1276280
286	37702	1275981
287	37839	1276043
288	37968	1275833
289	38106	1275903
290	38236	1275717
291	38376	1275886
292	38502	1275592
293	38629	1275299
294	38755	1275002
295	38893	1275070
296	39025	1274953
297	39150	1274637
298	39285	1274611
299	39416	1274479
300	39547	1274311
301	39678	1274193
302	39813	1274154
303	39942	1273946
304	40077	1273937
305	40210	1273854
306	40341	1273712
307	40471	1273552
308	40612	1273718
309	40748	1273720
310	40881	1273642
311	41015	1273595
312	41146	1273447
313	41287	1273612
314	41414	1273338
315	41545	1273183
316	41676	1273047
317	41805	1272829
318	41937	1272716
319	42061	1272368
320	42198	1272403
321	42326	1272155
322	42453	1271900
323	42586	1271802
324	42723	1271848
325	42864	1271992
